NFC ;Serial;Helmet;Customer Name;date of manufacture;state
http://www.veldt.xyz/check?serial=KAA180J;KAA180J;;;;
http://www.veldt.xyz/check?serial=UAA181G;UAA181G;;;;
http://www.veldt.xyz/check?serial=EAA182E;EAA182E;;;;
http://www.veldt.xyz/check?serial=UAA183T;UAA183T;;;;
http://www.veldt.xyz/check?serial=GAA184T;GAA184T;;;;
http://www.veldt.xyz/check?serial=DAA185H;DAA185H;;;;
http://www.veldt.xyz/check?serial=QAA186X;QAA186X;;;;
http://www.veldt.xyz/check?serial=EAA187M;EAA187M;;;;
http://www.veldt.xyz/check?serial=MAA188F;MAA188F;;;;
http://www.veldt.xyz/check?serial=ZAA189F;ZAA189F;;;;
http://www.veldt.xyz/check?serial=VAA190Y;VAA190Y;;;;
http://www.veldt.xyz/check?serial=QAA191L;QAA191L;;;;
http://www.veldt.xyz/check?serial=RAA192W;RAA192W;;;;
http://www.veldt.xyz/check?serial=ZAA193I;ZAA193I;;;;
http://www.veldt.xyz/check?serial=VAA194H;VAA194H;;;;
http://www.veldt.xyz/check?serial=EAA195D;EAA195D;;;;
http://www.veldt.xyz/check?serial=SAA196V;SAA196V;;;;
http://www.veldt.xyz/check?serial=NAA197A;NAA197A;;;;
http://www.veldt.xyz/check?serial=TAA198L;TAA198L;;;;
http://www.veldt.xyz/check?serial=JAA199B;JAA199B;;;;
http://www.veldt.xyz/check?serial=FAA200N;FAA200N;;;;
http://www.veldt.xyz/check?serial=QAA201U;QAA201U;;;;
http://www.veldt.xyz/check?serial=MAA202R;MAA202R;;;;
http://www.veldt.xyz/check?serial=NAA203V;NAA203V;;;;
http://www.veldt.xyz/check?serial=JAA204D;JAA204D;;;;
http://www.veldt.xyz/check?serial=ZAA205B;ZAA205B;;;;
http://www.veldt.xyz/check?serial=ZAA206I;ZAA206I;;;;
http://www.veldt.xyz/check?serial=VAA207G;VAA207G;;;;
http://www.veldt.xyz/check?serial=EAA208X;EAA208X;;;;
http://www.veldt.xyz/check?serial=PAA209L;PAA209L;;;;
http://www.veldt.xyz/check?serial=QAA210L;QAA210L;;;;
http://www.veldt.xyz/check?serial=MAA211J;MAA211J;;;;
http://www.veldt.xyz/check?serial=IAA212Z;IAA212Z;;;;
http://www.veldt.xyz/check?serial=WAA213B;WAA213B;;;;
http://www.veldt.xyz/check?serial=TAA214S;TAA214S;;;;
http://www.veldt.xyz/check?serial=ZAA215A;ZAA215A;;;;
http://www.veldt.xyz/check?serial=BAA216E;BAA216E;;;;
http://www.veldt.xyz/check?serial=RAA217N;RAA217N;;;;
http://www.veldt.xyz/check?serial=FAA218Y;FAA218Y;;;;
http://www.veldt.xyz/check?serial=JAA219P;JAA219P;;;;
http://www.veldt.xyz/check?serial=RAA220V;RAA220V;;;;
http://www.veldt.xyz/check?serial=UAA221B;UAA221B;;;;
http://www.veldt.xyz/check?serial=OAA222I;OAA222I;;;;
http://www.veldt.xyz/check?serial=VAA223B;VAA223B;;;;
http://www.veldt.xyz/check?serial=KAA224B;KAA224B;;;;
http://www.veldt.xyz/check?serial=DAA225B;DAA225B;;;;
http://www.veldt.xyz/check?serial=UAA226H;UAA226H;;;;
http://www.veldt.xyz/check?serial=FAA227F;FAA227F;;;;
http://www.veldt.xyz/check?serial=RAA228U;RAA228U;;;;
http://www.veldt.xyz/check?serial=OAA229W;OAA229W;;;;
http://www.veldt.xyz/check?serial=FAA230E;FAA230E;;;;
http://www.veldt.xyz/check?serial=AAA231B;AAA231B;;;;
http://www.veldt.xyz/check?serial=PAA232U;PAA232U;;;;
http://www.veldt.xyz/check?serial=XAA233M;XAA233M;;;;
http://www.veldt.xyz/check?serial=MAA234B;MAA234B;;;;
http://www.veldt.xyz/check?serial=IAA235P;IAA235P;;;;
http://www.veldt.xyz/check?serial=XAA236A;XAA236A;;;;
http://www.veldt.xyz/check?serial=TAA237B;TAA237B;;;;
http://www.veldt.xyz/check?serial=SAA238V;SAA238V;;;;
http://www.veldt.xyz/check?serial=DAA239Q;DAA239Q;;;;
http://www.veldt.xyz/check?serial=VAA240C;VAA240C;;;;
http://www.veldt.xyz/check?serial=CAA241C;CAA241C;;;;
http://www.veldt.xyz/check?serial=IAA242G;IAA242G;;;;
http://www.veldt.xyz/check?serial=TAA243Z;TAA243Z;;;;
http://www.veldt.xyz/check?serial=YAA244W;YAA244W;;;;
http://www.veldt.xyz/check?serial=JAA245L;JAA245L;;;;
http://www.veldt.xyz/check?serial=EAA246K;EAA246K;;;;
http://www.veldt.xyz/check?serial=XAA247X;XAA247X;;;;
http://www.veldt.xyz/check?serial=OAA248W;OAA248W;;;;
http://www.veldt.xyz/check?serial=KAA249D;KAA249D;;;;
http://www.veldt.xyz/check?serial=YAA250D;YAA250D;;;;
http://www.veldt.xyz/check?serial=YAA251V;YAA251V;;;;
http://www.veldt.xyz/check?serial=CAA252G;CAA252G;;;;
http://www.veldt.xyz/check?serial=BAA253C;BAA253C;;;;
http://www.veldt.xyz/check?serial=FAA254V;FAA254V;;;;
http://www.veldt.xyz/check?serial=MAA255K;MAA255K;;;;
http://www.veldt.xyz/check?serial=HAA256C;HAA256C;;;;
http://www.veldt.xyz/check?serial=XAA257W;XAA257W;;;;
http://www.veldt.xyz/check?serial=ZAA258I;ZAA258I;;;;
http://www.veldt.xyz/check?serial=DAA259M;DAA259M;;;;
http://www.veldt.xyz/check?serial=IAA260G;IAA260G;;;;
http://www.veldt.xyz/check?serial=NAA261X;NAA261X;;;;
http://www.veldt.xyz/check?serial=VAA262Z;VAA262Z;;;;
http://www.veldt.xyz/check?serial=PAA263Y;PAA263Y;;;;
http://www.veldt.xyz/check?serial=FAA264U;FAA264U;;;;
http://www.veldt.xyz/check?serial=PAA265P;PAA265P;;;;
http://www.veldt.xyz/check?serial=MAA266Q;MAA266Q;;;;
http://www.veldt.xyz/check?serial=KAA267T;KAA267T;;;;
http://www.veldt.xyz/check?serial=IAA268P;IAA268P;;;;
http://www.veldt.xyz/check?serial=AAA269X;AAA269X;;;;
http://www.veldt.xyz/check?serial=DAA270E;DAA270E;;;;
http://www.veldt.xyz/check?serial=PAA271K;PAA271K;;;;
http://www.veldt.xyz/check?serial=AAA272X;AAA272X;;;;
http://www.veldt.xyz/check?serial=OAA273B;OAA273B;;;;
http://www.veldt.xyz/check?serial=PAA274K;PAA274K;;;;
http://www.veldt.xyz/check?serial=UAA275P;UAA275P;;;;
http://www.veldt.xyz/check?serial=QAA276M;QAA276M;;;;
http://www.veldt.xyz/check?serial=IAA277T;IAA277T;;;;
http://www.veldt.xyz/check?serial=GAA278L;GAA278L;;;;
http://www.veldt.xyz/check?serial=UAA279O;UAA279O;;;;
http://www.veldt.xyz/check?serial=TAA280K;TAA280K;;;;
http://www.veldt.xyz/check?serial=VAA281T;VAA281T;;;;
http://www.veldt.xyz/check?serial=BAA282A;BAA282A;;;;
http://www.veldt.xyz/check?serial=CAA283G;CAA283G;;;;
http://www.veldt.xyz/check?serial=GAA284F;GAA284F;;;;
http://www.veldt.xyz/check?serial=XAA285Z;XAA285Z;;;;
http://www.veldt.xyz/check?serial=ZAA286X;ZAA286X;;;;
http://www.veldt.xyz/check?serial=NAA287J;NAA287J;;;;
http://www.veldt.xyz/check?serial=DAA288O;DAA288O;;;;
http://www.veldt.xyz/check?serial=KAA289U;KAA289U;;;;
http://www.veldt.xyz/check?serial=UAA290K;UAA290K;;;;
http://www.veldt.xyz/check?serial=RAA291B;RAA291B;;;;
http://www.veldt.xyz/check?serial=CAA292N;CAA292N;;;;
http://www.veldt.xyz/check?serial=HAA293Y;HAA293Y;;;;
http://www.veldt.xyz/check?serial=YAA294R;YAA294R;;;;
http://www.veldt.xyz/check?serial=XAA295L;XAA295L;;;;
http://www.veldt.xyz/check?serial=FAA296Y;FAA296Y;;;;
http://www.veldt.xyz/check?serial=WAA297S;WAA297S;;;;
http://www.veldt.xyz/check?serial=AAA298Q;AAA298Q;;;;
http://www.veldt.xyz/check?serial=RAA299M;RAA299M;;;;
http://www.veldt.xyz/check?serial=CAA300T;CAA300T;;;;
http://www.veldt.xyz/check?serial=WAA301E;WAA301E;;;;
http://www.veldt.xyz/check?serial=QAA302S;QAA302S;;;;
http://www.veldt.xyz/check?serial=AAA303D;AAA303D;;;;
http://www.veldt.xyz/check?serial=PAA304G;PAA304G;;;;
http://www.veldt.xyz/check?serial=CAA305C;CAA305C;;;;
http://www.veldt.xyz/check?serial=IAA306T;IAA306T;;;;
http://www.veldt.xyz/check?serial=WAA307G;WAA307G;;;;
http://www.veldt.xyz/check?serial=MAA308X;MAA308X;;;;
http://www.veldt.xyz/check?serial=KAA309B;KAA309B;;;;
http://www.veldt.xyz/check?serial=DAA310X;DAA310X;;;;
http://www.veldt.xyz/check?serial=WAA311C;WAA311C;;;;
http://www.veldt.xyz/check?serial=MAA312K;MAA312K;;;;
http://www.veldt.xyz/check?serial=WAA313D;WAA313D;;;;
http://www.veldt.xyz/check?serial=XAA314Y;XAA314Y;;;;
http://www.veldt.xyz/check?serial=FAA315B;FAA315B;;;;
